iter	RMSE
0	11591.67211
1	11218.185
2	10843.50062
3	10484.37471
4	10100.00957
5	9758.038705
6	9462.186638
7	9151.559879
8	8843.779669
9	8574.502973
10	8299.382982
11	8051.279285
12	7829.450775
13	7631.905109
14	7419.476034
15	7241.413699
16	7082.727746
17	6902.597012
18	6731.924431
19	6572.418978
20	6437.500543
21	6308.744509
22	6163.617624
23	6039.688915
24	5928.910534
25	5816.495623
26	5716.824492
27	5618.801563
28	5525.448959
29	5441.343458
30	5376.627795
31	5304.040188
32	5239.923644
33	5173.420982
34	5118.759691
35	5063.256938
36	5005.21245
37	4953.790599
38	4908.157647
39	4866.10714
40	4822.472619
41	4783.286735
42	4749.459741
43	4719.71014
44	4688.022386
45	4660.946452
46	4632.615615
47	4614.014555
48	4593.187534
49	4577.555077
50	4556.172655
51	4537.471453
52	4519.58825
53	4497.947597
54	4483.448621
55	4468.345649
56	4452.527364
57	4438.255095
58	4424.07536
59	4415.526194
60	4401.993278
61	4389.267782
62	4376.387724
63	4365.729255
64	4356.619102
65	4344.732419
66	4336.046605
67	4328.180879
68	4316.675091
69	4306.923924
70	4297.645323
71	4292.467069
72	4282.421159
73	4273.369178
74	4266.862971
75	4259.049805
76	4253.616574
77	4246.066617
78	4237.684795
79	4230.854028
80	4224.744298
81	4222.222401
82	4214.685025
83	4209.820895
84	4205.364852
85	4199.27882
86	4195.490553
87	4189.429891
88	4184.610663
89	4181.28818
90	4175.917265
91	4171.757369
92	4168.102551
93	4164.769506
94	4158.38873
95	4155.286705
96	4150.247323
97	4147.179123
98	4142.69829
99	4139.162273
