iter	Passed	Remaining
0	1	112
1	2	103
2	3	98
3	3	95
4	4	94
5	5	92
6	6	91
7	7	89
8	8	84
9	9	83
10	9	80
11	10	79
12	11	79
13	12	75
14	13	75
15	14	74
16	15	73
17	15	71
18	16	69
19	17	69
20	18	68
21	19	68
22	20	67
23	21	67
24	22	66
25	22	64
26	23	64
27	24	63
28	25	63
29	26	62
30	27	61
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	38	52
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
